year,country.eci,ECI,eci.plus,continent,iso_3c
1968,Paraguay,-0.587674,-0.668546,sa,PRY
1968,Uruguay,0.335919,0.49322,sa,URY
1968,Venezuela,-0.394938,-0.30713,sa,VEN
1969,Angola,-1.22352,-1.24938,af,AGO
1969,Cote d'Ivoire,-1.18414,-0.904762,af,CIV
1969,Cameroon,-0.843236,-0.696877,af,CMR
1969,Republic of the Congo,-0.844418,-0.903495,af,COG
1969,Algeria,-0.521161,-0.178434,af,DZA
1969,Egypt,-0.214962,0.201098,af,EGY
1969,Ethiopia,-0.87046,-0.884006,af,ETH
1969,Gabon,-1.41464,-1.76508,af,GAB
1969,Ghana,-0.851496,-1.20673,af,GHA
1969,Guinea,-1.16134,-1.90369,af,GIN
1969,Kenya,-0.752076,-0.42848,af,KEN
1969,Morocco,-0.411634,-0.346309,af,MAR
1969,Madagascar,-1.05855,-0.965817,af,MDG
1969,Mozambique,-0.821813,-0.704516,af,MOZ
1969,Mauritania,-0.541496,-0.952634,af,MRT
1969,Nigeria,-1.6612,-1.45732,af,NGA
1969,Sudan,-1.39571,-1.54302,af,SDN
1969,Senegal,-0.425614,-0.939444,af,SEN
1969,Togo,-1.36065,-1.60276,af,TGO
1969,Tunisia,-0.084226,-0.123778,af,TUN
1969,Tanzania,-1.30574,-1.3524,af,TZA
1969,South Africa,-0.409667,0.310346,af,ZAF
1969,Zambia,-0.842796,-0.910609,af,ZMB
1969,Zimbabwe,1.08494,0.842689,af,ZWE
1969,United Arab Emirates,0.693872,-0.931901,as,ARE
1969,China,0.541641,0.622565,as,CHN
1969,Hong Kong,1.26272,1.16906,as,HKG
1969,Indonesia,-1.0897,-0.719451,as,IDN
1969,India,0.052822,0.396243,as,IND
1969,Iran,-0.76819,-0.467554,as,IRN
1969,Israel,0.712611,0.76773,as,ISR
1969,Jordan,0.596004,0.266131,as,JOR
1969,Japan,1.94451,1.72511,as,JPN
1969,Cambodia,-0.922801,-0.772925,as,KHM
1969,South Korea,0.732955,0.576573,as,KOR
1969,Kuwait,-0.991073,-0.178129,as,KWT
1969,Laos,-0.923599,-1.657,as,LAO
